city,state_id,state_code
Hasimara,4853,WB
Hindusthan Cables Town,4853,WB
Hooghly district,4853,WB
Howrah,4853,WB
Ichapur,4853,WB
Indpur community development block,4853,WB
Ingraj Bazar,4853,WB
Islampur,4853,WB
Jafarpur,4853,WB
Jaigaon,4853,WB
Jalpaiguri,4853,WB
Jamuria,4853,WB
Jangipur,4853,WB
Jaynagar Majilpur,4853,WB
Jejur,4853,WB
Jhalida,4853,WB
Jhargram,4853,WB
Jhilimili,4853,WB
Kakdwip,4853,WB
Kalaikunda,4853,WB
Kaliaganj,4853,WB
Kalimpong,4853,WB
Kalna,4853,WB
Kalyani,4853,WB
Kamarhati,4853,WB
Kamarpukur,4853,WB
Kanchrapara,4853,WB
Kandi,4853,WB
Karimpur,4853,WB
Katwa,4853,WB
Kenda,4853,WB
Keshabpur,4853,WB
Kharagpur,4853,WB
Kharar,4853,WB
Kharba,4853,WB
Khardaha,4853,WB
Khatra,4853,WB
Kirnahar,4853,WB
Kolkata,4853,WB
Konnagar,4853,WB
Krishnanagar,4853,WB
Krishnapur,4853,WB
Kshirpai,4853,WB
Kulpi,4853,WB
Kultali,4853,WB
Kulti,4853,WB
Kurseong,4853,WB
Lalgarh,4853,WB
Lalgola,4853,WB
Loyabad,4853,WB
Madanpur,4853,WB
Madhyamgram,4853,WB
Mahiari,4853,WB
Mahishadal community development block,4853,WB
Mainaguri,4853,WB
Manikpara,4853,WB
Masila,4853,WB
Mathabhanga,4853,WB
Matiali community development block,4853,WB
Matigara community development block,4853,WB
Medinipur,4853,WB
Mejia community development block,4853,WB
Memari,4853,WB
Mirik,4853,WB
Monoharpur,4853,WB
Muragacha,4853,WB
Muri,4853,WB
Murshidabad,4853,WB
Nabadwip,4853,WB
Nabagram,4853,WB
Nadia district,4853,WB
Nagarukhra,4853,WB
Nagrakata,4853,WB
Naihati,4853,WB
Naksalbari,4853,WB
Nalhati,4853,WB
Nalpur,4853,WB
Namkhana community development block,4853,WB
Nandigram,4853,WB
Nangi,4853,WB
Nayagram community development block,4853,WB
North 24 Parganas district,4853,WB
Odlabari,4853,WB
Paikpara,4853,WB
Panagarh,4853,WB
Panchla,4853,WB
Panchmura,4853,WB
Pandua,4853,WB
Panihati,4853,WB
Panskura,4853,WB
Parbatipur,4853,WB
Paschim Medinipur district,4853,WB
Patiram,4853,WB
Patrasaer,4853,WB
Patuli,4853,WB
Pujali,4853,WB
Puncha community development block,4853,WB
Purba Medinipur district,4853,WB
Purulia,4853,WB
Raghudebbati,4853,WB
Raghunathpur,4853,WB
Raiganj,4853,WB
Rajmahal,4853,WB
Rajnagar community development block,4853,WB
Ramchandrapur,4853,WB
Ramjibanpur,4853,WB
Ramnagar,4853,WB
Rampur Hat,4853,WB
Ranaghat,4853,WB
Raniganj,4853,WB
Raypur,4853,WB
Rishra,4853,WB
Sahapur,4853,WB
Sainthia,4853,WB
Salanpur community development block,4853,WB
Sankarpur,4853,WB
Sankrail,4853,WB
Santipur,4853,WB
Santoshpur,4853,WB
Santuri community development block,4853,WB
Sarenga,4853,WB
Serampore,4853,WB
Serpur,4853,WB
Shyamnagar West Bengal,4853,WB
Siliguri,4853,WB
Singur,4853,WB
Sodpur,4853,WB
Solap,4853,WB
Sonada,4853,WB
Sonamukhi,4853,WB
Sonarpur community development block,4853,WB
South 24 Parganas district,4853,WB
Srikhanda,4853,WB
Srirampur,4853,WB
Suri,4853,WB
Swarupnagar community development block,4853,WB
Takdah,4853,WB
Taki,4853,WB
Tamluk,4853,WB
Tarakeswar,4853,WB
Titagarh,4853,WB
Tufanganj,4853,WB
Tulin,4853,WB
Uchalan,4853,WB
Ula,4853,WB
Uluberia,4853,WB
Uttar Dinajpur district,4853,WB
Uttarpara Kotrung,4853,WB
